hostname,data.T,data.P,data.H,sensed_at
machine03,27.46,980.372,63.052,2021/08/20 00:01:15
machine02,26.8,980.128,64.544,2021/08/20 00:01:17
machine01,27.58,980.38,59.606,2021/08/20 00:01:18
machine03,27.45,980.363,63.131,2021/08/20 00:01:20
machine02,26.8,980.145,64.53,2021/08/20 00:01:22
machine01,27.59,980.369,59.606,2021/08/20 00:01:23
machine03,27.44,980.364,63.154,2021/08/20 00:01:25
machine02,26.86,980.161,64.389,2021/08/20 00:01:27
machine01,27.59,980.377,59.619,2021/08/20 00:01:28
machine03,27.45,980.358,63.131,2021/08/20 00:01:30
machine02,26.88,980.154,64.296,2021/08/20 00:01:32
machine01,27.59,980.37,59.619,2021/08/20 00:01:33
machine03,27.41,980.363,63.033,2021/08/20 00:01:35
machine02,26.89,980.17,64.322,2021/08/20 00:01:37
machine01,27.58,980.382,59.606,2021/08/20 00:01:38
machine03,27.4,980.37,63.079,2021/08/20 00:01:40
machine02,26.89,980.163,64.264,2021/08/20 00:01:42
machine01,27.59,980.347,59.619,2021/08/20 00:01:43
machine03,27.38,980.379,63.146,2021/08/20 00:01:45
machine02,26.88,980.166,64.285,2021/08/20 00:01:47
machine01,27.58,980.35,59.617,2021/08/20 00:01:48
machine03,27.37,980.392,63.19,2021/08/20 00:01:50
machine02,26.9,980.136,64.229,2021/08/20 00:01:52
machine01,27.58,980.37,59.619,2021/08/20 00:01:53
machine03,27.38,980.366,63.158,2021/08/20 00:01:55
machine02,26.9,980.159,64.206,2021/08/20 00:01:57
machine01,27.59,980.383,59.606,2021/08/20 00:01:58
machine03,27.38,980.358,63.041,2021/08/20 00:02:00
machine02,26.91,980.181,64.172,2021/08/20 00:02:02
machine01,27.6,980.366,59.597,2021/08/20 00:02:03
machine03,27.38,980.378,63.028,2021/08/20 00:02:05
machine02,26.9,980.175,64.147,2021/08/20 00:02:07
machine01,27.6,980.368,59.598,2021/08/20 00:02:08
machine03,27.37,980.361,62.934,2021/08/20 00:02:10
machine02,26.89,980.138,64.159,2021/08/20 00:02:12
machine01,27.6,980.352,59.586,2021/08/20 00:02:13
machine03,27.37,980.385,63.016,2021/08/20 00:02:15
machine02,26.88,980.161,64.214,2021/08/20 00:02:17
machine01,27.61,980.354,59.575,2021/08/20 00:02:18
machine03,27.37,980.369,63.016,2021/08/20 00:02:20
machine02,26.89,980.143,64.171,2021/08/20 00:02:22
machine01,27.61,980.335,59.575,2021/08/20 00:02:23
machine03,27.36,980.359,63.038,2021/08/20 00:02:25
machine02,26.89,980.155,64.182,2021/08/20 00:02:27
machine01,27.62,980.363,59.575,2021/08/20 00:02:28
machine03,27.35,980.363,63.106,2021/08/20 00:02:30
machine02,26.87,980.15,64.236,2021/08/20 00:02:32
machine01,27.62,980.373,59.552,2021/08/20 00:02:33
machine03,27.34,980.372,63.115,2021/08/20 00:02:35
machine02,26.86,980.156,64.283,2021/08/20 00:02:37
machine01,27.62,980.354,59.553,2021/08/20 00:02:38
machine03,27.33,980.362,63.15,2021/08/20 00:02:40
machine02,26.88,980.143,64.249,2021/08/20 00:02:42
machine01,27.63,980.36,59.529,2021/08/20 00:02:43
machine03,27.35,980.361,63.071,2021/08/20 00:02:45
machine02,26.9,980.159,64.194,2021/08/20 00:02:47
machine01,27.63,980.397,59.53,2021/08/20 00:02:48
machine03,27.34,980.364,63.046,2021/08/20 00:02:50
machine02,26.93,980.148,64.093,2021/08/20 00:02:52
machine01,27.64,980.338,59.531,2021/08/20 00:02:53
machine03,27.34,980.364,63.046,2021/08/20 00:02:55
machine02,26.94,980.125,64.035,2021/08/20 00:02:57
machine01,27.63,980.373,59.531,2021/08/20 00:02:58
machine03,27.34,980.336,63.022,2021/08/20 00:03:00
machine02,26.95,980.146,64.015,2021/08/20 00:03:02
machine01,27.64,980.341,59.52,2021/08/20 00:03:03
machine03,27.34,980.361,63,2021/08/20 00:03:05
machine02,26.98,980.126,63.911,2021/08/20 00:03:07
machine01,27.65,980.348,59.521,2021/08/20 00:03:08
machine03,27.33,980.38,63.045,2021/08/20 00:03:10
machine02,26.98,980.163,63.888,2021/08/20 00:03:12
machine01,27.65,980.355,59.509,2021/08/20 00:03:13
machine03,27.33,980.382,63.103,2021/08/20 00:03:15
machine02,27.01,980.165,63.799,2021/08/20 00:03:17
machine01,27.65,980.336,59.509,2021/08/20 00:03:18
machine03,27.31,980.373,63.146,2021/08/20 00:03:20
machine02,27,980.169,63.763,2021/08/20 00:03:22
machine01,27.65,980.378,59.51,2021/08/20 00:03:23
machine03,27.29,980.371,63.121,2021/08/20 00:03:25
machine02,26.97,980.127,63.817,2021/08/20 00:03:27
machine01,27.66,980.367,59.498,2021/08/20 00:03:28
machine03,27.28,980.407,63.18,2021/08/20 00:03:30
machine02,26.95,980.145,63.872,2021/08/20 00:03:32
machine01,27.66,980.358,59.486,2021/08/20 00:03:33
machine03,27.31,980.393,63.112,2021/08/20 00:03:35
machine02,26.95,980.148,63.874,2021/08/20 00:03:37
machine01,27.66,980.365,59.487,2021/08/20 00:03:38
machine03,27.3,980.396,63.089,2021/08/20 00:03:40
machine02,26.97,980.145,63.817,2021/08/20 00:03:42
machine01,27.67,980.382,59.487,2021/08/20 00:03:43
machine03,27.31,980.365,63.042,2021/08/20 00:03:45
machine02,26.96,980.145,63.805,2021/08/20 00:03:47
machine01,27.67,980.379,59.488,2021/08/20 00:03:48
machine03,27.31,980.384,63.03,2021/08/20 00:03:50
machine02,26.98,980.158,63.794,2021/08/20 00:03:52
machine01,27.68,980.384,59.477,2021/08/20 00:03:53
machine03,27.31,980.364,63.019,2021/08/20 00:03:55
machine02,27.01,980.119,63.729,2021/08/20 00:03:57
machine01,27.67,980.388,59.477,2021/08/20 00:03:58
machine03,27.3,980.376,63.03,2021/08/20 00:04:00
machine02,27,980.143,63.739,2021/08/20 00:04:02
machine01,27.68,980.372,59.478,2021/08/20 00:04:03
machine03,27.29,980.364,63.018,2021/08/20 00:04:05
machine02,27.01,980.138,63.706,2021/08/20 00:04:07
machine01,27.69,980.396,59.455,2021/08/20 00:04:08
machine03,27.28,980.355,62.981,2021/08/20 00:04:10
machine02,27,980.146,63.739,2021/08/20 00:04:12
machine01,27.69,980.346,59.455,2021/08/20 00:04:13
machine03,27.28,980.353,63.005,2021/08/20 00:04:15
machine02,27,980.165,63.728,2021/08/20 00:04:17
machine01,27.69,980.359,59.443,2021/08/20 00:04:18
machine03,27.28,980.387,62.981,2021/08/20 00:04:20
machine02,27,980.155,63.739,2021/08/20 00:04:22
machine01,27.7,980.372,59.443,2021/08/20 00:04:23
machine03,27.3,980.376,62.936,2021/08/20 00:04:25
machine02,27,980.164,63.739,2021/08/20 00:04:27
machine01,27.7,980.352,59.444,2021/08/20 00:04:28
machine03,27.3,980.381,62.994,2021/08/20 00:04:30
machine02,26.99,980.192,63.773,2021/08/20 00:04:32
machine01,27.7,980.378,59.444,2021/08/20 00:04:33
machine03,27.3,980.4,62.889,2021/08/20 00:04:35
machine02,26.95,980.159,63.838,2021/08/20 00:04:37
machine01,27.71,980.393,59.433,2021/08/20 00:04:38
machine03,27.28,980.391,62.97,2021/08/20 00:04:40
machine02,26.95,980.161,63.886,2021/08/20 00:04:42
machine01,27.71,980.389,59.435,2021/08/20 00:04:43
machine03,27.28,980.389,62.911,2021/08/20 00:04:45
machine02,26.96,980.142,63.852,2021/08/20 00:04:47
machine01,27.71,980.381,59.435,2021/08/20 00:04:48
machine03,27.29,980.382,62.923,2021/08/20 00:04:50
machine02,26.97,980.164,63.829,2021/08/20 00:04:52
machine01,27.71,980.374,59.422,2021/08/20 00:04:53
machine03,27.28,980.392,62.899,2021/08/20 00:04:55
machine02,26.99,980.182,63.797,2021/08/20 00:04:57
machine01,27.72,980.347,59.424,2021/08/20 00:04:58
machine03,27.28,980.376,62.944,2021/08/20 00:05:00
machine02,26.99,980.165,63.75,2021/08/20 00:05:02
machine01,27.71,980.37,59.422,2021/08/20 00:05:03
machine03,27.26,980.377,62.978,2021/08/20 00:05:05
machine02,27,980.151,63.704,2021/08/20 00:05:07
machine01,27.71,980.364,59.444,2021/08/20 00:05:08
machine03,27.28,980.387,62.898,2021/08/20 00:05:10
machine02,27.02,980.15,63.683,2021/08/20 00:05:12
machine01,27.71,980.38,59.446,2021/08/20 00:05:13
machine03,27.29,980.384,62.817,2021/08/20 00:05:15
machine02,27.03,980.141,63.638,2021/08/20 00:05:17
machine01,27.7,980.362,59.457,2021/08/20 00:05:18
machine03,27.28,980.399,62.806,2021/08/20 00:05:20
machine02,27.05,980.131,63.56,2021/08/20 00:05:22
machine01,27.71,980.379,59.446,2021/08/20 00:05:23
machine03,27.28,980.394,62.828,2021/08/20 00:05:25
machine02,27.03,980.168,63.579,2021/08/20 00:05:27
machine01,27.71,980.409,59.458,2021/08/20 00:05:28
machine03,27.28,980.372,62.817,2021/08/20 00:05:30
machine02,27.03,980.17,63.591,2021/08/20 00:05:32
machine01,27.7,980.394,59.457,2021/08/20 00:05:33
machine03,27.31,980.383,62.645,2021/08/20 00:05:35
machine02,27.03,980.171,63.614,2021/08/20 00:05:37
machine01,27.7,980.391,59.457,2021/08/20 00:05:38
machine03,27.32,980.356,62.623,2021/08/20 00:05:40
machine02,27.03,980.172,63.638,2021/08/20 00:05:42
machine01,27.71,980.364,59.469,2021/08/20 00:05:43
machine03,27.31,980.394,62.691,2021/08/20 00:05:45
machine02,27.04,980.155,63.581,2021/08/20 00:05:47
machine01,27.71,980.398,59.469,2021/08/20 00:05:48
machine03,27.32,980.372,62.658,2021/08/20 00:05:50
machine02,27.03,980.171,63.603,2021/08/20 00:05:52
machine01,27.7,980.392,59.469,2021/08/20 00:05:53
machine03,27.32,980.388,62.589,2021/08/20 00:05:55
machine02,27.06,980.18,63.525,2021/08/20 00:05:57
machine01,27.7,980.379,59.479,2021/08/20 00:05:58
machine03,27.32,980.396,62.601,2021/08/20 00:06:00
machine02,27.08,980.169,63.445,2021/08/20 00:06:02
machine01,27.7,980.38,59.48,2021/08/20 00:06:03
machine03,27.34,980.403,62.556,2021/08/20 00:06:05
machine02,27.07,980.147,63.433,2021/08/20 00:06:07
machine01,27.7,980.375,59.48,2021/08/20 00:06:08
machine03,27.34,980.381,62.544,2021/08/20 00:06:10
machine02,27.07,980.123,63.28,2021/08/20 00:06:12
machine01,27.7,980.401,59.48,2021/08/20 00:06:13
machine03,27.35,980.394,62.487,2021/08/20 00:06:15
machine02,27.08,980.118,63.316,2021/08/20 00:06:17
machine01,27.7,980.38,59.48,2021/08/20 00:06:18
machine03,27.35,980.414,62.523,2021/08/20 00:06:20
machine02,27.09,980.123,63.224,2021/08/20 00:06:22
machine01,27.71,980.394,59.48,2021/08/20 00:06:23
machine03,27.34,980.366,62.533,2021/08/20 00:06:25
machine02,27.09,980.117,63.27,2021/08/20 00:06:27
machine01,27.71,980.393,59.48,2021/08/20 00:06:28
machine03,27.34,980.404,62.486,2021/08/20 00:06:30
machine02,27.09,980.134,63.306,2021/08/20 00:06:32
machine01,27.71,980.423,59.493,2021/08/20 00:06:33
machine03,27.36,980.377,62.442,2021/08/20 00:06:35
machine02,27.08,980.112,63.375,2021/08/20 00:06:37
machine01,27.71,980.417,59.492,2021/08/20 00:06:38
machine03,27.36,980.38,62.442,2021/08/20 00:06:40
machine02,27.08,980.138,63.398,2021/08/20 00:06:42
machine01,27.7,980.392,59.492,2021/08/20 00:06:43
machine03,27.38,980.396,62.386,2021/08/20 00:06:45
machine02,27.1,980.153,63.366,2021/08/20 00:06:47
machine01,27.7,980.413,59.491,2021/08/20 00:06:48
machine03,27.38,980.384,62.376,2021/08/20 00:06:50
machine02,27.08,980.129,63.398,2021/08/20 00:06:52
machine01,27.69,980.375,59.491,2021/08/20 00:06:53
machine03,27.4,980.395,62.285,2021/08/20 00:06:55
machine02,27.07,980.15,63.433,2021/08/20 00:06:57
machine01,27.7,980.4,59.491,2021/08/20 00:06:58
machine03,27.4,980.389,62.297,2021/08/20 00:07:00
machine02,27.09,980.145,63.398,2021/08/20 00:07:02
machine01,27.7,980.411,59.491,2021/08/20 00:07:03
machine03,27.42,980.388,62.228,2021/08/20 00:07:05
machine02,27.1,980.156,63.379,2021/08/20 00:07:07
machine01,27.7,980.389,59.492,2021/08/20 00:07:08
machine03,27.42,980.393,62.263,2021/08/20 00:07:10
machine02,27.13,980.128,63.336,2021/08/20 00:07:12
machine01,27.7,980.402,59.491,2021/08/20 00:07:13
machine03,27.39,980.392,62.33,2021/08/20 00:07:15
machine02,27.11,980.142,63.391,2021/08/20 00:07:17
machine01,27.71,980.427,59.505,2021/08/20 00:07:18
machine03,27.4,980.398,62.4,2021/08/20 00:07:20
machine02,27.12,980.097,63.312,2021/08/20 00:07:22
machine01,27.7,980.413,59.504,2021/08/20 00:07:23
machine03,27.41,980.421,62.228,2021/08/20 00:07:25
machine02,27.17,980.135,63.21,2021/08/20 00:07:27
machine01,27.7,980.412,59.492,2021/08/20 00:07:28
machine03,27.4,980.372,62.215,2021/08/20 00:07:30
machine02,27.16,980.123,63.199,2021/08/20 00:07:32
machine01,27.7,980.413,59.492,2021/08/20 00:07:33
machine03,27.41,980.38,62.203,2021/08/20 00:07:35
machine02,27.17,980.138,63.188,2021/08/20 00:07:37
machine01,27.7,980.388,59.503,2021/08/20 00:07:38
machine03,27.39,980.365,62.271,2021/08/20 00:07:40
machine02,27.16,980.136,63.187,2021/08/20 00:07:42
machine01,27.7,980.408,59.492,2021/08/20 00:07:43
machine03,27.41,980.403,62.25,2021/08/20 00:07:45
machine02,27.18,980.148,63.119,2021/08/20 00:07:47
machine01,27.69,980.395,59.503,2021/08/20 00:07:48
machine03,27.4,980.385,62.261,2021/08/20 00:07:50
machine02,27.17,980.132,63.069,2021/08/20 00:07:52
machine01,27.7,980.394,59.504,2021/08/20 00:07:53
machine03,27.39,980.378,62.342,2021/08/20 00:07:55
machine02,27.15,980.146,63.091,2021/08/20 00:07:57
machine01,27.7,980.406,59.503,2021/08/20 00:07:58
machine03,27.4,980.387,62.343,2021/08/20 00:08:00
machine02,27.12,980.124,63.135,2021/08/20 00:08:02
machine01,27.69,980.37,59.503,2021/08/20 00:08:03
machine03,27.39,980.346,62.411,2021/08/20 00:08:05
machine02,27.1,980.105,63.226,2021/08/20 00:08:07
machine01,27.7,980.392,59.504,2021/08/20 00:08:08
machine03,27.4,980.393,62.412,2021/08/20 00:08:10
machine02,27.11,980.125,63.238,2021/08/20 00:08:12
machine01,27.7,980.398,59.492,2021/08/20 00:08:13
machine03,27.39,980.397,62.411,2021/08/20 00:08:15
machine02,27.11,980.129,63.227,2021/08/20 00:08:17
machine01,27.7,980.419,59.504,2021/08/20 00:08:18
machine03,27.38,980.376,62.435,2021/08/20 00:08:20
machine02,27.11,980.118,63.203,2021/08/20 00:08:22
machine01,27.69,980.366,59.503,2021/08/20 00:08:23
machine03,27.37,980.402,62.467,2021/08/20 00:08:25
machine02,27.09,980.129,63.259,2021/08/20 00:08:27
machine01,27.7,980.388,59.503,2021/08/20 00:08:28
machine03,27.38,980.374,62.421,2021/08/20 00:08:30
machine02,27.07,980.121,63.304,2021/08/20 00:08:32
machine01,27.7,980.4,59.503,2021/08/20 00:08:33
machine03,27.36,980.361,62.454,2021/08/20 00:08:35
machine02,27.08,980.152,63.34,2021/08/20 00:08:37
machine01,27.7,980.431,59.503,2021/08/20 00:08:38
machine03,27.37,980.383,62.467,2021/08/20 00:08:40
machine02,27.06,980.107,63.348,2021/08/20 00:08:42
machine01,27.7,980.405,59.504,2021/08/20 00:08:43
machine03,27.39,980.36,62.364,2021/08/20 00:08:45
machine02,27.07,980.14,63.373,2021/08/20 00:08:47
machine01,27.69,980.375,59.503,2021/08/20 00:08:48
machine03,27.38,980.378,62.456,2021/08/20 00:08:50
machine02,27.08,980.141,63.352,2021/08/20 00:08:52
machine01,27.7,980.374,59.503,2021/08/20 00:08:53
machine03,27.39,980.387,62.389,2021/08/20 00:08:55
machine02,27.08,980.18,63.328,2021/08/20 00:08:57
machine01,27.7,980.39,59.503,2021/08/20 00:08:58
machine03,27.41,980.412,62.286,2021/08/20 00:09:00
machine02,27.07,980.155,63.362,2021/08/20 00:09:02
machine01,27.7,980.396,59.504,2021/08/20 00:09:03
machine03,27.4,980.37,62.389,2021/08/20 00:09:05
machine02,27.06,980.121,63.373,2021/08/20 00:09:07
machine01,27.7,980.391,59.504,2021/08/20 00:09:08
machine03,27.39,980.368,62.423,2021/08/20 00:09:10
machine02,27.07,980.18,63.374,2021/08/20 00:09:12
machine01,27.7,980.374,59.503,2021/08/20 00:09:13
machine03,27.39,980.373,62.353,2021/08/20 00:09:15
machine02,27.06,980.195,63.385,2021/08/20 00:09:17
machine01,27.7,980.383,59.503,2021/08/20 00:09:18
machine03,27.37,980.368,62.455,2021/08/20 00:09:20
machine02,27.06,980.18,63.383,2021/08/20 00:09:22
machine01,27.69,980.389,59.503,2021/08/20 00:09:23
machine03,27.37,980.384,62.42,2021/08/20 00:09:25
machine02,27.08,980.139,63.363,2021/08/20 00:09:27
machine01,27.7,980.398,59.504,2021/08/20 00:09:28
machine03,27.4,980.357,62.377,2021/08/20 00:09:30
machine02,27.1,980.13,63.262,2021/08/20 00:09:32
machine01,27.7,980.376,59.504,2021/08/20 00:09:33
machine03,27.38,980.386,62.446,2021/08/20 00:09:35
machine02,27.1,980.102,63.262,2021/08/20 00:09:37
machine01,27.71,980.429,59.481,2021/08/20 00:09:38
machine03,27.38,980.362,62.446,2021/08/20 00:09:40
machine02,27.1,980.106,63.25,2021/08/20 00:09:42
machine01,27.71,980.383,59.47,2021/08/20 00:09:43
machine03,27.37,980.39,62.467,2021/08/20 00:09:45
machine02,27.1,980.138,63.202,2021/08/20 00:09:47
machine01,27.72,980.374,59.471,2021/08/20 00:09:48
machine03,27.37,980.381,62.455,2021/08/20 00:09:50
machine02,27.08,980.139,63.223,2021/08/20 00:09:52
machine01,27.72,980.396,59.459,2021/08/20 00:09:53
machine03,27.38,980.396,62.468,2021/08/20 00:09:55
machine02,27.1,980.104,63.249,2021/08/20 00:09:57
machine01,27.71,980.377,59.47,2021/08/20 00:09:58
machine03,27.4,980.387,62.412,2021/08/20 00:10:00
machine02,27.16,980.11,63.128,2021/08/20 00:10:02
machine01,27.73,980.407,59.471,2021/08/20 00:10:03
machine03,27.42,980.365,62.263,2021/08/20 00:10:05
machine02,27.16,980.106,63.058,2021/08/20 00:10:07
machine01,27.72,980.384,59.471,2021/08/20 00:10:08
machine03,27.44,980.371,62.243,2021/08/20 00:10:10
machine02,27.16,980.119,63.034,2021/08/20 00:10:12
machine01,27.73,980.405,59.471,2021/08/20 00:10:13
machine03,27.43,980.366,62.266,2021/08/20 00:10:15
machine02,27.17,980.129,63,2021/08/20 00:10:17
machine01,27.72,980.406,59.471,2021/08/20 00:10:18
machine03,27.45,980.377,62.197,2021/08/20 00:10:20
machine02,27.16,980.15,63.011,2021/08/20 00:10:22
machine01,27.72,980.404,59.471,2021/08/20 00:10:23
machine03,27.44,980.363,62.231,2021/08/20 00:10:25
machine02,27.18,980.108,63.037,2021/08/20 00:10:27
machine01,27.72,980.39,59.471,2021/08/20 00:10:28
machine03,27.43,980.373,62.184,2021/08/20 00:10:30
machine02,27.23,980.164,62.903,2021/08/20 00:10:32
machine01,27.72,980.39,59.471,2021/08/20 00:10:33
machine03,27.42,980.384,62.252,2021/08/20 00:10:35
machine02,27.25,980.129,62.848,2021/08/20 00:10:37
machine01,27.72,980.404,59.482,2021/08/20 00:10:38
machine03,27.43,980.357,62.219,2021/08/20 00:10:40
machine02,27.26,980.125,62.79,2021/08/20 00:10:42
machine01,27.72,980.404,59.482,2021/08/20 00:10:43
machine03,27.45,980.353,62.174,2021/08/20 00:10:45
machine02,27.32,980.13,62.633,2021/08/20 00:10:47
machine01,27.72,980.394,59.482,2021/08/20 00:10:48
machine03,27.44,980.365,62.22,2021/08/20 00:10:50
machine02,27.36,980.14,62.451,2021/08/20 00:10:52
machine01,27.72,980.373,59.471,2021/08/20 00:10:53
machine03,27.43,980.389,62.277,2021/08/20 00:10:55
machine02,27.37,980.12,62.3,2021/08/20 00:10:57
machine01,27.72,980.37,59.482,2021/08/20 00:10:58
machine03,27.42,980.387,62.311,2021/08/20 00:11:00
machine02,27.36,980.114,62.358,2021/08/20 00:11:02
machine01,27.72,980.407,59.482,2021/08/20 00:11:03
machine03,27.42,980.373,62.368,2021/08/20 00:11:05
machine02,27.37,980.084,62.312,2021/08/20 00:11:07
machine01,27.72,980.359,59.471,2021/08/20 00:11:08
machine03,27.43,980.39,62.312,2021/08/20 00:11:10
machine02,27.35,980.08,62.346,2021/08/20 00:11:12
machine01,27.72,980.393,59.482,2021/08/20 00:11:13
machine03,27.42,980.361,62.286,2021/08/20 00:11:15
machine02,27.33,980.108,62.447,2021/08/20 00:11:17
machine01,27.71,980.384,59.481,2021/08/20 00:11:18
machine03,27.42,980.351,62.239,2021/08/20 00:11:20
machine02,27.28,980.106,62.593,2021/08/20 00:11:22
machine01,27.71,980.363,59.481,2021/08/20 00:11:23
machine03,27.42,980.353,62.298,2021/08/20 00:11:25
machine02,27.23,980.105,62.657,2021/08/20 00:11:27
machine01,27.72,980.383,59.471,2021/08/20 00:11:28
machine03,27.41,980.375,62.333,2021/08/20 00:11:30
machine02,27.19,980.128,62.78,2021/08/20 00:11:32
machine01,27.71,980.383,59.481,2021/08/20 00:11:33
machine03,27.41,980.358,62.332,2021/08/20 00:11:35
machine02,27.19,980.084,62.874,2021/08/20 00:11:37
machine01,27.72,980.399,59.482,2021/08/20 00:11:38
machine03,27.41,980.35,62.321,2021/08/20 00:11:40
machine02,27.21,980.109,62.854,2021/08/20 00:11:42
machine01,27.71,980.366,59.481,2021/08/20 00:11:43
machine03,27.43,980.36,62.22,2021/08/20 00:11:45
machine02,27.19,980.117,62.862,2021/08/20 00:11:47
machine01,27.71,980.377,59.47,2021/08/20 00:11:48
machine03,27.42,980.359,62.252,2021/08/20 00:11:50
machine02,27.18,980.101,62.909,2021/08/20 00:11:52
machine01,27.72,980.347,59.482,2021/08/20 00:11:53
machine03,27.43,980.347,62.277,2021/08/20 00:11:55
machine02,27.17,980.11,62.943,2021/08/20 00:11:57
machine01,27.72,980.393,59.482,2021/08/20 00:11:58
machine03,27.42,980.357,62.264,2021/08/20 00:12:00
machine02,27.17,980.111,62.953,2021/08/20 00:12:02
machine01,27.72,980.385,59.482,2021/08/20 00:12:03
machine03,27.41,980.328,62.263,2021/08/20 00:12:05
machine02,27.18,980.117,62.956,2021/08/20 00:12:07
machine01,27.71,980.367,59.47,2021/08/20 00:12:08
machine03,27.4,980.351,62.297,2021/08/20 00:12:10
machine02,27.2,980.134,62.91,2021/08/20 00:12:12
machine01,27.72,980.374,59.471,2021/08/20 00:12:13
machine03,27.4,980.333,62.354,2021/08/20 00:12:15
machine02,27.19,980.126,62.897,2021/08/20 00:12:17
machine01,27.71,980.361,59.481,2021/08/20 00:12:18
machine03,27.4,980.329,62.309,2021/08/20 00:12:20
machine02,27.2,980.104,62.888,2021/08/20 00:12:22
machine01,27.72,980.386,59.471,2021/08/20 00:12:23
machine03,27.41,980.349,62.286,2021/08/20 00:12:25
machine02,27.22,980.108,62.866,2021/08/20 00:12:27
machine01,27.72,980.404,59.482,2021/08/20 00:12:28
machine03,27.41,980.343,62.32,2021/08/20 00:12:30
machine02,27.19,980.083,62.909,2021/08/20 00:12:32
machine01,27.72,980.367,59.482,2021/08/20 00:12:33
machine03,27.4,980.335,62.343,2021/08/20 00:12:35
machine02,27.17,980.095,62.99,2021/08/20 00:12:37
machine01,27.72,980.379,59.482,2021/08/20 00:12:38
machine03,27.4,980.384,62.378,2021/08/20 00:12:40
machine02,27.19,980.113,62.934,2021/08/20 00:12:42
machine01,27.72,980.354,59.471,2021/08/20 00:12:43
machine03,27.44,980.361,62.255,2021/08/20 00:12:45
machine02,27.18,980.095,62.968,2021/08/20 00:12:47
machine01,27.71,980.329,59.481,2021/08/20 00:12:48
machine03,27.42,980.351,62.252,2021/08/20 00:12:50
machine02,27.17,980.102,63.011,2021/08/20 00:12:52
machine01,27.71,980.363,59.481,2021/08/20 00:12:53
machine03,27.43,980.353,62.277,2021/08/20 00:12:55
machine02,27.17,980.073,63.034,2021/08/20 00:12:57
machine01,27.72,980.384,59.482,2021/08/20 00:12:58
machine03,27.43,980.352,62.255,2021/08/20 00:13:00
machine02,27.14,980.09,63.079,2021/08/20 00:13:02
machine01,27.72,980.384,59.482,2021/08/20 00:13:03
machine03,27.43,980.332,62.242,2021/08/20 00:13:05
machine02,27.14,980.095,63.091,2021/08/20 00:13:07
machine01,27.72,980.358,59.482,2021/08/20 00:13:08
machine03,27.42,980.347,62.252,2021/08/20 00:13:10
machine02,27.14,980.086,63.079,2021/08/20 00:13:12
machine01,27.72,980.36,59.482,2021/08/20 00:13:13
machine03,27.43,980.363,62.231,2021/08/20 00:13:15
machine02,27.14,980.099,63.101,2021/08/20 00:13:17
machine01,27.72,980.36,59.482,2021/08/20 00:13:18
machine03,27.45,980.342,62.232,2021/08/20 00:13:20
